positive_threshold,negative_threshold,val_macro_f1,val_iletim_f1,val_iletim_precision,val_iletim_recall,val_iletim_fn,val_iletim_fp,val_iletim_total_error
0.8,0.24,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.25,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.26,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.27,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.28,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.29,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.3,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.31,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.8,0.32,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.18,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.81,0.19,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.81,0.2,0.9264967379239999,0.8695652173913042,0.8374384236453202,0.9042553191489362,18,33,51
0.81,0.21,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.22,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.23,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.24,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.25,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.26,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.27,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.28,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.29,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.3,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.31,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.81,0.32,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.82,0.18,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.82,0.19,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.82,0.2,0.9273604098019853,0.8717948717948718,0.8415841584158416,0.9042553191489362,18,32,50
0.82,0.21,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.22,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.23,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.24,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.25,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.26,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.27,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.28,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.29,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.3,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.31,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.82,0.32,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.83,0.18,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.83,0.19,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.83,0.2,0.928227819809987,0.8740359897172237,0.845771144278607,0.9042553191489362,18,31,49
0.83,0.21,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.22,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.23,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.24,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.25,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.26,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.27,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.28,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.29,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.3,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.31,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.83,0.32,0.9290989975790039,0.8762886597938143,0.85,0.9042553191489362,18,30,48
0.84,0.18,0.9271510578952689,0.8711340206185567,0.845,0.898936170212766,19,31,50
0.84,0.19,0.9271510578952689,0.8711340206185567,0.845,0.898936170212766,19,31,50
0.84,0.2,0.9271510578952689,0.8711340206185567,0.845,0.898936170212766,19,31,50
0.84,0.21,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.22,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.23,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.24,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.25,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.26,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.27,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.28,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.29,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.3,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.31,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.84,0.32,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.18,0.9271510578952689,0.8711340206185567,0.845,0.898936170212766,19,31,50
0.85,0.19,0.9271510578952689,0.8711340206185567,0.845,0.898936170212766,19,31,50
0.85,0.2,0.9271510578952689,0.8711340206185567,0.845,0.898936170212766,19,31,50
0.85,0.21,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.22,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.23,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.24,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.25,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.26,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.27,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.28,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.29,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.3,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.85,0.31,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
